FiscalYear,MonthYear,Town,AdmMonth,PrimaryDrug,AdmCount
2014,13-Jul,Bloomfield,7,Alcohol,14
2014,13-Aug,Bloomfield,8,Alcohol,12
2014,13-Aug,Bloomfield,8,Heroin,8
2014,13-Sep,Bloomfield,9,Alcohol,6
2014,13-Oct,Bloomfield,10,Alcohol,7
2014,13-Nov,Bloomfield,11,Alcohol,8
2014,13-Nov,Bloomfield,11,"Marijuana, Hashish, THC",6
2014,13-Dec,Bloomfield,12,Alcohol,9
2014,14-Jun,Bozrah,6,Alcohol,9
2014,13-Aug,Bozrah,8,Alcohol,7
2014,14-Jan,Branford,1,Alcohol,11
2014,14-Jan,Branford,1,Heroin,15
2014,14-Feb,Branford,2,Alcohol,8
2014,14-Feb,Branford,2,Heroin,6
2014,14-Feb,Branford,2,"Marijuana, Hashish, THC",6
2014,14-Mar,Branford,3,Alcohol,10
2014,14-Mar,Branford,3,Heroin,11
2014,14-Apr,Branford,4,Alcohol,17
2014,14-Apr,Branford,4,Heroin,15
2014,14-May,Branford,5,Alcohol,15
2014,14-May,Branford,5,Heroin,16
2014,14-May,Branford,5,Other Opiates and Synthetics,6
2014,14-Jun,Branford,6,Alcohol,17
2014,14-Jun,Branford,6,Heroin,20
2014,14-Jun,Branford,6,Other Opiates and Synthetics,9
2014,13-Jul,Branford,7,Alcohol,11
2014,13-Jul,Branford,7,Heroin,12
2014,13-Aug,Branford,8,Alcohol,13
2014,13-Aug,Branford,8,Heroin,12
2014,13-Sep,Branford,9,Alcohol,20
2014,13-Oct,Branford,10,Alcohol,17
2014,13-Oct,Branford,10,Heroin,13
2014,13-Nov,Branford,11,Alcohol,17
2014,13-Nov,Branford,11,Heroin,16
2014,13-Dec,Branford,12,Alcohol,10
2014,13-Dec,Branford,12,Heroin,12
2014,14-Jan,Bridgeport,1,Alcohol,73
2014,14-Jan,Bridgeport,1,Benzodiazepines,6
2014,14-Jan,Bridgeport,1,Cocaine,16
2014,14-Jan,Bridgeport,1,Crack,26
2014,14-Jan,Bridgeport,1,Heroin,113
2014,14-Jan,Bridgeport,1,"Marijuana, Hashish, THC",77
2014,14-Jan,Bridgeport,1,Other Opiates and Synthetics,11
2014,14-Jan,Bridgeport,1,PCP,24
2014,14-Feb,Bridgeport,2,Alcohol,90
2014,14-Feb,Bridgeport,2,Benzodiazepines,11
2014,14-Feb,Bridgeport,2,Cocaine,19
2014,14-Feb,Bridgeport,2,Crack,25
2014,14-Feb,Bridgeport,2,Heroin,112
2014,14-Feb,Bridgeport,2,"Marijuana, Hashish, THC",81
2014,14-Feb,Bridgeport,2,Other Opiates and Synthetics,14
2014,14-Feb,Bridgeport,2,PCP,19
2014,14-Mar,Bridgeport,3,Alcohol,110
2014,14-Mar,Bridgeport,3,Cocaine,25
2014,14-Mar,Bridgeport,3,Crack,37
2014,14-Mar,Bridgeport,3,Heroin,137
2014,14-Mar,Bridgeport,3,"Marijuana, Hashish, THC",107
2014,14-Mar,Bridgeport,3,Other Opiates and Synthetics,19
2014,14-Mar,Bridgeport,3,PCP,22
2014,14-Apr,Bridgeport,4,Alcohol,110
2014,14-Apr,Bridgeport,4,Cocaine,33
2014,14-Apr,Bridgeport,4,Crack,27
2014,14-Apr,Bridgeport,4,Heroin,135
2014,14-Apr,Bridgeport,4,"Marijuana, Hashish, THC",105
2014,14-Apr,Bridgeport,4,Other Opiates and Synthetics,24
2014,14-Apr,Bridgeport,4,PCP,18
2014,14-May,Bridgeport,5,Alcohol,112
2014,14-May,Bridgeport,5,Benzodiazepines,7
2014,14-May,Bridgeport,5,Cocaine,26
2014,14-May,Bridgeport,5,Crack,17
2014,14-May,Bridgeport,5,Heroin,128
2014,14-May,Bridgeport,5,"Marijuana, Hashish, THC",119
2014,14-May,Bridgeport,5,Other Opiates and Synthetics,10
2014,14-May,Bridgeport,5,PCP,17
2014,14-Jun,Bridgeport,6,Alcohol,106
2014,14-Jun,Bridgeport,6,Cocaine,25
2014,14-Jun,Bridgeport,6,Crack,38
2014,14-Jun,Bridgeport,6,Heroin,142
2014,14-Jun,Bridgeport,6,"Marijuana, Hashish, THC",72
2014,14-Jun,Bridgeport,6,Other Opiates and Synthetics,16
2014,14-Jun,Bridgeport,6,PCP,19
2014,13-Jul,Bridgeport,7,Alcohol,92
2014,13-Jul,Bridgeport,7,Benzodiazepines,8
2014,13-Jul,Bridgeport,7,Cocaine,21
2014,13-Jul,Bridgeport,7,Crack,35
2014,13-Jul,Bridgeport,7,Heroin,125
2014,13-Jul,Bridgeport,7,"Marijuana, Hashish, THC",89
2014,13-Jul,Bridgeport,7,Other Opiates and Synthetics,20
2014,13-Jul,Bridgeport,7,PCP,15
2014,13-Aug,Bridgeport,8,Alcohol,93
2014,13-Aug,Bridgeport,8,Benzodiazepines,15
2014,13-Aug,Bridgeport,8,Cocaine,19
2014,13-Aug,Bridgeport,8,Crack,30
2014,13-Aug,Bridgeport,8,Heroin,121
2014,13-Aug,Bridgeport,8,"Marijuana, Hashish, THC",99
2014,13-Aug,Bridgeport,8,Other Opiates and Synthetics,15
2014,13-Aug,Bridgeport,8,PCP,12
2014,13-Sep,Bridgeport,9,Alcohol,99
2014,13-Sep,Bridgeport,9,Cocaine,24
2014,13-Sep,Bridgeport,9,Crack,33
2014,13-Sep,Bridgeport,9,Heroin,139
2014,13-Sep,Bridgeport,9,"Marijuana, Hashish, THC",74
2014,13-Sep,Bridgeport,9,Other Opiates and Synthetics,13
2014,13-Sep,Bridgeport,9,PCP,12
2014,13-Oct,Bridgeport,10,Alcohol,100
2014,13-Oct,Bridgeport,10,Benzodiazepines,11
2014,13-Oct,Bridgeport,10,Cocaine,27
2014,13-Oct,Bridgeport,10,Crack,33
2014,13-Oct,Bridgeport,10,Heroin,176
2014,13-Oct,Bridgeport,10,"Marijuana, Hashish, THC",80
2014,13-Oct,Bridgeport,10,Other Opiates and Synthetics,15
2014,13-Oct,Bridgeport,10,PCP,17
2014,13-Nov,Bridgeport,11,Alcohol,83
2014,13-Nov,Bridgeport,11,Cocaine,17
2014,13-Nov,Bridgeport,11,Crack,19
2014,13-Nov,Bridgeport,11,Heroin,132
2014,13-Nov,Bridgeport,11,"Marijuana, Hashish, THC",71
2014,13-Nov,Bridgeport,11,Other Opiates and Synthetics,10
2014,13-Nov,Bridgeport,11,PCP,11
2014,13-Dec,Bridgeport,12,Alcohol,98
2014,13-Dec,Bridgeport,12,Benzodiazepines,11
2014,13-Dec,Bridgeport,12,Cocaine,14
2014,13-Dec,Bridgeport,12,Crack,33
2014,13-Dec,Bridgeport,12,Heroin,123
2014,13-Dec,Bridgeport,12,"Marijuana, Hashish, THC",76
2014,13-Dec,Bridgeport,12,Other Opiates and Synthetics,12
2014,13-Dec,Bridgeport,12,PCP,16
2014,14-Jan,Bristol,1,Alcohol,42
2014,14-Jan,Bristol,1,Cocaine,9
2014,14-Jan,Bristol,1,Heroin,47
2014,14-Jan,Bristol,1,"Marijuana, Hashish, THC",18
2014,14-Feb,Bristol,2,Alcohol,31
2014,14-Feb,Bristol,2,Heroin,44
2014,14-Feb,Bristol,2,"Marijuana, Hashish, THC",10
2014,14-Mar,Bristol,3,Alcohol,50
2014,14-Mar,Bristol,3,Heroin,54
2014,14-Mar,Bristol,3,"Marijuana, Hashish, THC",15
2014,14-Apr,Bristol,4,Alcohol,40
2014,14-Apr,Bristol,4,Cocaine,10
2014,14-Apr,Bristol,4,Heroin,53
2014,14-Apr,Bristol,4,"Marijuana, Hashish, THC",13
2014,14-May,Bristol,5,Alcohol,44
2014,14-May,Bristol,5,Cocaine,6
2014,14-May,Bristol,5,Heroin,58
2014,14-May,Bristol,5,"Marijuana, Hashish, THC",9
2014,14-Jun,Bristol,6,Alcohol,28
2014,14-Jun,Bristol,6,Heroin,44
2014,14-Jun,Bristol,6,"Marijuana, Hashish, THC",17
2014,14-Jun,Bristol,6,Other Opiates and Synthetics,6
2014,13-Jul,Bristol,7,Alcohol,40
2014,13-Jul,Bristol,7,Heroin,44
2014,13-Jul,Bristol,7,"Marijuana, Hashish, THC",11
2014,13-Jul,Bristol,7,Other Opiates and Synthetics,7
2014,13-Aug,Bristol,8,Alcohol,37
2014,13-Aug,Bristol,8,Cocaine,7
2014,13-Aug,Bristol,8,Heroin,46
2014,13-Aug,Bristol,8,"Marijuana, Hashish, THC",12
2014,13-Aug,Bristol,8,Other Opiates and Synthetics,9
2014,13-Sep,Bristol,9,Alcohol,43
2014,13-Sep,Bristol,9,Heroin,36
2014,13-Sep,Bristol,9,"Marijuana, Hashish, THC",12
2014,13-Oct,Bristol,10,Alcohol,42
2014,13-Oct,Bristol,10,Cocaine,7
2014,13-Oct,Bristol,10,Heroin,43
2014,13-Oct,Bristol,10,"Marijuana, Hashish, THC",16
2014,13-Oct,Bristol,10,Other Opiates and Synthetics,7
2014,13-Nov,Bristol,11,Alcohol,41
2014,13-Nov,Bristol,11,Heroin,45
2014,13-Nov,Bristol,11,"Marijuana, Hashish, THC",11
2014,13-Nov,Bristol,11,Other Opiates and Synthetics,7
2014,13-Dec,Bristol,12,Alcohol,37
2014,13-Dec,Bristol,12,Heroin,44
2014,13-Dec,Bristol,12,"Marijuana, Hashish, THC",8
2014,13-Dec,Bristol,12,Other Opiates and Synthetics,10
2014,14-Jan,Brookfield,1,Alcohol,6
2014,14-Jan,Brookfield,1,Heroin,8
2014,14-Mar,Brookfield,3,Heroin,9
2014,14-Apr,Brookfield,4,Alcohol,6
2014,14-Apr,Brookfield,4,Heroin,7
2014,14-May,Brookfield,5,Alcohol,6
2014,14-May,Brookfield,5,Heroin,6
2014,14-Jun,Brookfield,6,Alcohol,6
2014,14-Jun,Brookfield,6,Heroin,8
2014,13-Jul,Brookfield,7,Alcohol,8
2014,13-Jul,Brookfield,7,Heroin,8
2014,13-Sep,Brookfield,9,Alcohol,8
2014,13-Sep,Brookfield,9,Heroin,9
2014,13-Oct,Brookfield,10,Alcohol,6
2014,13-Nov,Brookfield,11,Alcohol,8
2014,13-Nov,Brookfield,11,Heroin,6
2014,13-Dec,Brookfield,12,Heroin,6
2014,14-Mar,Brooklyn,3,Alcohol,9
2014,14-Mar,Brooklyn,3,Heroin,8
2014,14-Mar,Brooklyn,3,"Marijuana, Hashish, THC",11
2014,14-Apr,Brooklyn,4,Alcohol,15
2014,14-Apr,Brooklyn,4,"Marijuana, Hashish, THC",9
2014,14-May,Brooklyn,5,Alcohol,7
2014,14-Jun,Brooklyn,6,Alcohol,11
2014,14-Jun,Brooklyn,6,"Marijuana, Hashish, THC",9
2014,13-Jul,Brooklyn,7,Heroin,8
2014,13-Aug,Brooklyn,8,Heroin,6
2014,13-Sep,Brooklyn,9,Alcohol,11
2014,13-Sep,Brooklyn,9,"Marijuana, Hashish, THC",11
2014,13-Oct,Brooklyn,10,Other Opiates and Synthetics,6
2014,13-Dec,Brooklyn,12,Alcohol,13
2014,13-Dec,Brooklyn,12,Heroin,10
2014,13-Dec,Brooklyn,12,"Marijuana, Hashish, THC",17
2014,14-Feb,Burlington,2,Heroin,7
2014,13-Oct,Coventry,10,Heroin,7
2014,13-Nov,Canton,11,Alcohol,7
2014,13-Dec,Canton,12,Alcohol,6
2014,14-Jan,Cheshire,1,Alcohol,9
2014,14-Jan,Cheshire,1,Heroin,6
2014,14-Jan,Cheshire,1,"Marijuana, Hashish, THC",7
2014,14-Feb,Cheshire,2,Alcohol,6
2014,14-Mar,Cheshire,3,Alcohol,7
2014,14-Apr,Cheshire,4,Alcohol,8
2014,14-May,Cheshire,5,Alcohol,7
2014,14-Jun,Cheshire,6,Alcohol,9
2014,14-Jun,Cheshire,6,Heroin,15
2014,13-Jul,Cheshire,7,Alcohol,10
2014,13-Aug,Cheshire,8,Alcohol,15
2014,13-Oct,Cheshire,10,Alcohol,7
2014,13-Nov,Cheshire,11,Heroin,6
2014,14-Jan,Clinton,1,Alcohol,7
2014,14-Feb,Clinton,2,Alcohol,10
2014,14-Apr,Clinton,4,Alcohol,7
2014,14-Apr,Clinton,4,Heroin,6
2014,14-Jun,Clinton,6,Heroin,14
2014,13-Jul,Clinton,7,Alcohol,7
2014,13-Oct,Clinton,10,Alcohol,9
2014,13-Oct,Clinton,10,Heroin,6
2014,13-Nov,Clinton,11,Heroin,6
2014,13-Dec,Clinton,12,Heroin,7
2014,14-Jan,Colchester,1,Alcohol,12
2014,14-Jan,Colchester,1,Heroin,11
2014,14-Feb,Colchester,2,Alcohol,13
2014,14-Feb,Colchester,2,Heroin,7
2014,14-Mar,Colchester,3,Alcohol,11
2014,14-Mar,Colchester,3,Heroin,10
2014,14-Apr,Colchester,4,Alcohol,14
2014,14-Apr,Colchester,4,Heroin,9
2014,14-May,Colchester,5,Alcohol,8
2014,14-May,Colchester,5,Heroin,8
2014,14-Jun,Colchester,6,Alcohol,13
2014,14-Jun,Colchester,6,Heroin,11
2014,13-Jul,Colchester,7,Alcohol,11
2014,13-Jul,Colchester,7,Heroin,14
2014,13-Aug,Colchester,8,Alcohol,6
2014,13-Aug,Colchester,8,Heroin,8
2014,13-Sep,Colchester,9,Alcohol,13
2014,13-Sep,Colchester,9,Heroin,10
2014,13-Oct,Colchester,10,Alcohol,10
2014,13-Nov,Colchester,11,Alcohol,13
2014,13-Nov,Colchester,11,Heroin,8
2014,13-Dec,Colchester,12,Alcohol,12
2014,13-Dec,Colchester,12,Heroin,21
2014,14-Jan,Coventry,1,Heroin,8
2014,14-Feb,Coventry,2,Heroin,6
2014,14-Feb,Coventry,2,Other Opiates and Synthetics,6
2014,14-Mar,Coventry,3,Alcohol,9
2014,14-Mar,Coventry,3,Heroin,6
2014,14-Apr,Coventry,4,Alcohol,7
2014,14-May,Coventry,5,Heroin,6
2014,14-Jun,Coventry,6,Alcohol,6
2014,13-Jul,Coventry,7,Alcohol,6
2014,13-Aug,Coventry,8,Alcohol,6
2014,13-Sep,Coventry,9,Alcohol,7
2014,13-Oct,Coventry,10,Alcohol,12
2014,13-Dec,Coventry,12,Heroin,10
2014,14-Jan,Cromwell,1,Alcohol,11
2014,14-Jan,Cromwell,1,Heroin,6
2014,14-Feb,Cromwell,2,Heroin,6
2014,14-Mar,Cromwell,3,Alcohol,9
2014,14-Apr,Cromwell,4,Alcohol,11
2014,14-Apr,Cromwell,4,Heroin,7
2014,14-May,Cromwell,5,Alcohol,6
2014,14-Jun,Cromwell,6,Alcohol,8
2014,13-Aug,Cromwell,8,Alcohol,6
2014,14-Mar,Danbury,3,Alcohol,55
2014,13-Oct,Cromwell,10,Alcohol,9
2014,13-Nov,Cromwell,11,Alcohol,6
2014,13-Dec,Cromwell,12,Alcohol,7
2014,14-Jan,Danbury,1,Alcohol,53
2014,14-Jan,Danbury,1,Cocaine,8
2014,14-Jan,Danbury,1,Heroin,52
2014,14-Jan,Danbury,1,"Marijuana, Hashish, THC",15
2014,14-Jan,Danbury,1,Other Opiates and Synthetics,8
2014,14-Feb,Danbury,2,Alcohol,34
2014,14-Feb,Danbury,2,Cocaine,6
2014,14-Feb,Danbury,2,Heroin,40
2014,14-Feb,Danbury,2,"Marijuana, Hashish, THC",7
2014,14-Feb,Danbury,2,Other Opiates and Synthetics,8
2014,14-Mar,Danbury,3,Heroin,31
2014,14-Mar,Danbury,3,"Marijuana, Hashish, THC",8
2014,14-Apr,Danbury,4,Alcohol,55
2014,14-Apr,Danbury,4,Heroin,38
2014,14-Apr,Danbury,4,"Marijuana, Hashish, THC",19
2014,14-Apr,Danbury,4,Other Opiates and Synthetics,14
2014,14-May,Danbury,5,Alcohol,47
2014,14-May,Danbury,5,Cocaine,7
2014,14-May,Danbury,5,Crack,6
2014,14-May,Danbury,5,Heroin,52
2014,14-May,Danbury,5,"Marijuana, Hashish, THC",17
2014,14-May,Danbury,5,Other Opiates and Synthetics,14
2014,14-Jun,Danbury,6,Alcohol,56
2014,14-Jun,Danbury,6,Crack,6
2014,14-Jun,Danbury,6,Heroin,47
2014,14-Jun,Danbury,6,"Marijuana, Hashish, THC",15
2014,14-Jun,Danbury,6,Other Opiates and Synthetics,8
2014,13-Jul,Danbury,7,Alcohol,55
2014,13-Jul,Danbury,7,Heroin,44
2014,13-Jul,Danbury,7,"Marijuana, Hashish, THC",19
2014,13-Aug,Danbury,8,Alcohol,52
2014,13-Aug,Danbury,8,Heroin,45
2014,13-Aug,Danbury,8,"Marijuana, Hashish, THC",9
2014,13-Aug,Danbury,8,Other Opiates and Synthetics,6
2014,13-Sep,Danbury,9,Alcohol,49
2014,13-Sep,Danbury,9,Cocaine,6
2014,13-Sep,Danbury,9,Heroin,37
2014,13-Sep,Danbury,9,"Marijuana, Hashish, THC",16
2014,13-Sep,Danbury,9,Other Opiates and Synthetics,14
2014,13-Oct,Danbury,10,Alcohol,66
2014,13-Oct,Danbury,10,Heroin,42
2014,13-Nov,Danbury,11,Alcohol,42
2014,13-Nov,Danbury,11,Heroin,23
2014,13-Nov,Danbury,11,"Marijuana, Hashish, THC",11
2014,13-Dec,Danbury,12,Alcohol,52
2014,13-Dec,Danbury,12,Heroin,38
2014,13-Dec,Danbury,12,"Marijuana, Hashish, THC",10
2014,13-Dec,Danbury,12,Other Opiates and Synthetics,8
2014,13-Aug,Deep River,8,Alcohol,7
2014,13-Nov,Deep River,11,Heroin,6
2014,14-Feb,Derby,2,Alcohol,9
2014,14-Mar,Derby,3,Alcohol,6
2014,14-Apr,Derby,4,Alcohol,11
2014,14-Apr,Derby,4,Heroin,9
2014,14-May,Derby,5,Alcohol,11
2014,14-May,Derby,5,Heroin,8
2014,14-Jun,Derby,6,Alcohol,9
2014,14-Jun,Derby,6,Heroin,9
2014,13-Jul,Derby,7,Alcohol,12
2014,13-Jul,Derby,7,Heroin,13
2014,13-Aug,Derby,8,Alcohol,7
2014,13-Sep,Derby,9,Alcohol,10
2014,13-Oct,Derby,10,Alcohol,19
2014,13-Oct,Derby,10,Heroin,8
2014,13-Nov,Derby,11,Alcohol,9
2014,13-Dec,Derby,12,Alcohol,7
2014,13-Dec,Derby,12,Heroin,8
2014,14-Feb,East Haddam,2,Alcohol,9
2014,14-Jan,East Lyme,1,Heroin,10
2014,14-Apr,East Haddam,4,Alcohol,7
2014,14-Jun,East Haddam,6,Heroin,6
2014,13-Sep,East Haddam,9,Alcohol,11
2014,13-Oct,East Haddam,10,Alcohol,12
2014,13-Nov,East Haddam,11,Alcohol,6
2014,14-Jan,East Hampton,1,Alcohol,11
2014,14-Jan,East Hampton,1,Heroin,7
2014,14-Feb,East Hampton,2,Alcohol,8
2014,14-Mar,East Hampton,3,Alcohol,15
2014,14-Apr,East Hampton,4,Alcohol,13
2014,14-Jun,East Hampton,6,Alcohol,9
2014,13-Jul,East Hampton,7,Alcohol,15
2014,13-Aug,East Hampton,8,Alcohol,10
2014,13-Aug,East Hampton,8,Heroin,7
2014,13-Sep,East Hampton,9,Alcohol,10
2014,14-Apr,Fairfield,4,Heroin,11
2014,13-Oct,East Hampton,10,Alcohol,9
2014,13-Oct,East Hampton,10,Heroin,7
2014,13-Nov,East Hampton,11,Alcohol,8
2014,13-Nov,East Hampton,11,Heroin,6
2014,13-Dec,East Hampton,12,Alcohol,9
2014,14-Jan,East Hartford,1,Alcohol,47
2014,14-Jan,East Hartford,1,Crack,6
2014,14-Jan,East Hartford,1,Heroin,36
2014,14-Feb,East Hartford,2,Alcohol,44
2014,14-Feb,East Hartford,2,Heroin,27
2014,14-Feb,East Hartford,2,Other Opiates and Synthetics,6
2014,14-Mar,East Hartford,3,Alcohol,40
2014,14-Mar,East Hartford,3,Heroin,34
2014,14-Mar,East Hartford,3,"Marijuana, Hashish, THC",17
2014,14-Mar,East Hartford,3,Other Opiates and Synthetics,6
2014,14-Apr,East Hartford,4,Alcohol,38
2014,14-May,Hamden,5,Heroin,19
2014,14-Apr,East Hartford,4,Crack,7
2014,14-Apr,East Hartford,4,Heroin,27
2014,14-Apr,East Hartford,4,"Marijuana, Hashish, THC",12
2014,14-May,East Hartford,5,Alcohol,37
2014,14-May,East Hartford,5,Heroin,25
2014,14-May,East Hartford,5,"Marijuana, Hashish, THC",11
2014,14-Jun,East Hartford,6,Alcohol,31
2014,14-Jun,East Hartford,6,Cocaine,7
2014,14-Jun,East Hartford,6,Heroin,30
2014,13-Jul,East Hartford,7,Alcohol,29
2014,13-Jul,East Hartford,7,Cocaine,6
2014,13-Jul,East Hartford,7,Crack,7
2014,13-Jul,East Hartford,7,Heroin,44
2014,13-Jul,East Hartford,7,"Marijuana, Hashish, THC",7
2014,13-Aug,East Hartford,8,Alcohol,37
2014,13-Aug,East Hartford,8,Heroin,35
2014,13-Aug,East Hartford,8,"Marijuana, Hashish, THC",10
2014,13-Sep,East Hartford,9,Alcohol,59
2014,13-Sep,East Hartford,9,Cocaine,6
2014,13-Sep,East Hartford,9,Heroin,32
2014,13-Sep,East Hartford,9,"Marijuana, Hashish, THC",6
2014,13-Oct,East Hartford,10,Alcohol,41
2014,13-Oct,East Hartford,10,Heroin,29
2014,13-Oct,East Hartford,10,"Marijuana, Hashish, THC",10
2014,13-Nov,East Hartford,11,Alcohol,45
2014,13-Nov,East Hartford,11,Heroin,26
2014,13-Nov,East Hartford,11,"Marijuana, Hashish, THC",10
2014,13-Dec,East Hartford,12,Alcohol,24
2014,13-Dec,East Hartford,12,Heroin,30
2014,14-Jan,East Haven,1,Alcohol,18
2014,14-Jan,East Haven,1,Benzodiazepines,6
2014,14-Jan,East Haven,1,Heroin,21
2014,14-Feb,East Haven,2,Alcohol,13
2014,14-Feb,East Haven,2,Heroin,24
2014,14-Feb,East Haven,2,Other Opiates and Synthetics,6
2014,14-Mar,East Haven,3,Alcohol,17
2014,14-Mar,East Haven,3,Benzodiazepines,7
2014,14-Mar,East Haven,3,Heroin,17
2014,14-Mar,East Haven,3,Other Opiates and Synthetics,9
2014,14-Apr,East Haven,4,Alcohol,15
2014,14-Apr,East Haven,4,Heroin,24
2014,14-Apr,East Haven,4,Other Opiates and Synthetics,6
2014,14-May,East Haven,5,Alcohol,21
2014,14-May,East Haven,5,Heroin,22
2014,14-May,East Haven,5,"Marijuana, Hashish, THC",7
2014,14-May,East Haven,5,Other Opiates and Synthetics,6
2014,14-Jun,East Haven,6,Alcohol,24
2014,14-Jun,East Haven,6,Heroin,41
2014,14-Jun,East Haven,6,Other Opiates and Synthetics,20
2014,13-Jul,East Haven,7,Alcohol,16
2014,13-Jul,East Haven,7,Heroin,34
2014,13-Jul,East Haven,7,Other Opiates and Synthetics,8
2014,13-Aug,East Haven,8,Alcohol,23
2014,13-Aug,East Haven,8,Heroin,33
2014,13-Aug,East Haven,8,Other Opiates and Synthetics,7
2014,13-Sep,East Haven,9,Alcohol,11
2014,13-Sep,East Haven,9,Heroin,20
2014,13-Sep,East Haven,9,Other Opiates and Synthetics,10
2014,13-Oct,East Haven,10,Alcohol,21
2014,13-Oct,East Haven,10,Cocaine,6
2014,13-Oct,East Haven,10,Heroin,18
2014,13-Nov,East Haven,11,Alcohol,19
2014,13-Nov,East Haven,11,Heroin,22
2014,13-Dec,East Haven,12,Alcohol,17
2014,13-Dec,East Haven,12,Heroin,30
2014,13-Dec,East Haven,12,Other Opiates and Synthetics,8
2014,14-Jan,East Lyme,1,Alcohol,13
2014,14-Feb,East Lyme,2,Alcohol,13
2014,14-Feb,East Lyme,2,Heroin,9
2014,14-Mar,East Lyme,3,Alcohol,11
2014,14-Mar,East Lyme,3,Heroin,12
2014,14-Apr,East Lyme,4,Alcohol,18
2014,14-May,East Lyme,5,Alcohol,17
2014,14-May,East Lyme,5,Heroin,8
2014,14-Jun,East Lyme,6,Alcohol,10
2014,14-Jun,East Lyme,6,Heroin,11
2014,13-Jul,East Lyme,7,Alcohol,17
2014,13-Jul,East Lyme,7,Heroin,11
2014,13-Aug,East Lyme,8,Alcohol,11
2014,13-Aug,East Lyme,8,Heroin,8
2014,13-Sep,East Lyme,9,Alcohol,10
